scale,dist,hedge,sl,tp,trail,max_hold,exit,all_net_usd,all_per_event_R,all_profit_factor,all_event_winrate,all_max_dd_usd,all_t_stat,all_trades,is_net_usd,is_per_event_R,is_profit_factor,is_event_winrate,is_max_dd_usd,is_t_stat,is_trades,oos_net_usd,oos_per_event_R,oos_profit_factor,oos_event_winrate,oos_max_dd_usd,oos_t_stat,oos_trades
vol,0.6,True,1.5,0.0,0.0,15,timeout,113.24,0.105,1.32,41.7,122.52,1.12,103,-40.44,-0.06,0.86,32.8,122.52,-0.51,65,153.68,0.375,3.04,56.1,30.54,2.58,38
vol,0.6,True,1.5,0.0,0.0,30,timeout,140.49,0.13,1.36,42.6,112.36,1.29,103,-6.82,-0.01,0.98,35.8,112.36,-0.08,65,147.31,0.359,2.61,53.7,24.88,2.32,38
vol,0.6,True,1.5,0.0,0.0,60,timeout,46.81,0.043,1.1,35.2,124.56,0.39,103,-18.73,-0.028,0.94,31.3,124.56,-0.19,65,65.53,0.16,1.49,41.5,78.38,0.9,38
vol,0.6,False,0.25,0.5,0.0,60,target,618.44,0.573,2.39,50.9,80.15,3.97,85,344.63,0.514,2.19,49.3,70.85,2.78,52,273.81,0.668,2.75,53.7,80.15,2.87,33
vol,0.6,False,0.25,1.0,0.0,60,target,893.21,0.827,2.31,37.0,188.96,3.47,85,230.23,0.344,1.45,28.4,188.96,1.19,52,662.97,1.617,4.96,51.2,80.15,4.18,33
vol,0.6,False,0.25,2.0,0.0,60,target,1189.03,1.101,2.37,25.9,290.37,2.94,85,365.72,0.546,1.6,19.4,290.37,1.25,52,823.31,2.008,4.19,36.6,80.97,3.04,33
vol,0.6,False,0.25,0.0,0.25,60,trail,1019.65,0.944,2.58,41.7,133.11,3.21,85,367.95,0.549,1.84,37.3,133.11,1.57,52,651.7,1.59,4.17,48.8,80.15,3.08,33
vol,0.6,False,0.25,0.0,0.5,60,trail,898.29,0.832,2.32,36.1,129.13,2.83,85,254.64,0.38,1.53,28.4,129.13,1.15,52,643.66,1.57,4.13,48.8,80.15,2.9,33
vol,0.6,False,0.25,0.0,1.0,60,trail,1225.8,1.135,2.49,29.6,295.51,2.65,85,411.33,0.614,1.71,22.4,295.51,1.17,52,814.47,1.987,4.35,41.5,87.05,2.75,33
vol,0.6,False,0.25,0.0,0.0,15,timeout,1568.03,1.452,3.06,33.3,154.7,3.34,85,594.63,0.888,2.1,25.4,154.7,1.74,52,973.4,2.374,5.42,46.3,80.15,3.08,33
vol,0.6,False,0.25,0.0,0.0,30,timeout,1531.12,1.418,2.79,27.8,199.92,2.96,85,654.46,0.977,2.12,22.4,199.92,1.65,52,876.67,2.138,4.23,36.6,80.15,2.65,33
vol,0.6,False,0.25,0.0,0.0,60,timeout,1165.88,1.08,2.21,20.4,281.52,2.19,85,527.33,0.787,1.84,17.9,281.52,1.34,52,638.55,1.557,2.9,24.4,169.62,1.77,33
vol,0.6,False,0.5,0.5,0.0,60,target,208.2,0.193,1.61,52.8,74.74,2.15,85,103.4,0.154,1.46,50.7,73.44,1.34,52,104.8,0.256,1.87,56.1,74.74,1.78,33
vol,0.6,False,0.5,1.0,0.0,60,target,304.81,0.282,1.58,38.9,145.68,2.05,85,0.58,0.001,1.0,29.9,145.68,0.01,52,304.23,0.742,3.32,53.7,70.06,3.38,33
vol,0.6,False,0.5,2.0,0.0,60,target,403.55,0.374,1.6,27.8,226.26,1.82,85,62.31,0.093,1.13,20.9,226.26,0.38,52,341.24,0.832,2.65,39.0,70.06,2.33,33
vol,0.6,False,0.5,0.0,0.25,60,trail,356.99,0.331,1.74,43.5,113.32,2.06,85,74.87,0.112,1.23,38.8,113.32,0.58,52,282.12,0.688,2.86,51.2,70.06,2.48,33
vol,0.6,False,0.5,0.0,0.5,60,trail,288.43,0.267,1.56,38.0,142.06,1.66,85,6.83,0.01,1.02,29.9,142.06,0.06,52,281.6,0.687,2.86,51.2,70.06,2.37,33
vol,0.6,False,0.5,0.0,1.0,60,trail,440.38,0.408,1.7,31.5,218.68,1.78,85,90.26,0.135,1.2,23.9,218.68,0.47,52,350.12,0.854,2.89,43.9,79.96,2.24,33
vol,0.6,False,0.5,0.0,0.0,15,timeout,633.52,0.587,2.14,35.2,133.47,2.56,85,183.7,0.274,1.46,26.9,133.47,1.01,52,449.81,1.097,3.84,48.8,64.67,2.73,33
vol,0.6,False,0.5,0.0,0.0,30,timeout,606.6,0.562,1.96,31.5,163.75,2.23,85,211.24,0.315,1.48,25.4,163.75,1.01,52,395.36,0.964,3.01,41.5,70.06,2.29,33
vol,0.6,False,0.5,0.0,0.0,60,timeout,383.13,0.355,1.52,23.1,222.08,1.36,85,137.86,0.206,1.29,19.4,222.08,0.65,52,245.26,0.598,1.96,29.3,158.32,1.3,33
vol,0.6,False,1.0,0.5,0.0,60,target,9.84,0.009,1.04,53.7,74.76,0.15,85,-16.78,-0.025,0.91,50.7,74.76,-0.32,52,26.61,0.065,1.29,58.5,65.02,0.67,33
vol,0.6,False,1.0,1.0,0.0,60,target,74.28,0.069,1.2,43.5,116.05,0.8,85,-61.41,-0.092,0.78,35.8,116.05,-0.84,52,135.69,0.331,2.48,56.1,60.02,2.54,33
vol,0.6,False,1.0,2.0,0.0,60,target,150.33,0.139,1.32,34.3,138.73,1.15,85,-39.94,-0.06,0.88,26.9,138.73,-0.4,52,190.27,0.464,2.49,46.3,57.68,2.31,33
vol,0.6,False,1.0,0.0,0.25,60,trail,72.0,0.067,1.2,47.2,114.73,0.7,85,-59.07,-0.088,0.78,40.3,114.73,-0.76,52,131.07,0.32,2.28,58.5,46.24,2.01,33
